"","Departamento","2012","2013","2014","2015","2016","2017","2018"
"1","Amazonas","61.3","59.2",62.6707102898856,72.8327583242889,71.9104137560726,78.8626352296439,80.7471920797825
"2","Áncash","88.8","93",92.9197681005456,94.167483181146,96.1387714295352,96.7538706609129,96.4853499838229
"3","Apurímac","97.4","97.4",96.7619777961668,98.8317500414748,98.7795940939321,99.065724735258,99.8351933325036
"4","Arequipa","94.1","95.4",96.0059470743703,98.2998258718082,98.3958761186465,99.2154585513443,99.009872461011
"5","Ayacucho","91.8","95.5",96.8697226633243,96.5446804218336,98.3178347996706,99.1635718082545,97.7534113403129
"6","Cajamarca","65.8","74.400000000000006",74.382575539997,79.9603516787877,78.8336048040723,83.3196154391458,87.4370966013019
"7","Prov. Const. del Callao",NA,NA,99.0208036592349,99.6575859726299,99.0574946841118,99.0174548467803,99.8755456526919
"8","Cusco","94.1","94.6",95.6569356968202,97.7427887549277,97.0356590056744,98.3195153698528,98.2924364885243
"9","Huancavelica","80.5","89.1",91.539863545936,90.8225158743354,92.4541817348526,94.2250008514283,92.4995922678613
"10","Huánuco","92.8","87.5",89.5085621217032,95.8133151058391,95.2631247687497,97.5231234361061,96.5657238820319
"11","Ica","99.2","99.7",99.520886657976,99.5066892037663,99.6947575479655,99.3585646711236,98.9565373896441
"12","Junín","84.5","83.9",87.3382927863012,88.7537212621261,90.2891488776417,93.7823323645562,93.2736572214078
"13","La Libertad","85.1","84",89.8561316062255,91.016454504267,92.7200818786164,91.3875005182259,90.6165644222994
"14","Lambayeque","87.2","94.4",91.6738569568015,88.8088213534518,93.3472347595743,94.08434804982,95.0062029026421
"15","Lima",NA,NA,98.8197489710728,99.0880029443956,99.5012211933847,99.6,99.3773359426195
"16","Provincia de Lima 2/",NA,NA,99.0423037026691,99.2810994421114,99.5476282492992,99.70516954875,99.4569498893106
"17","Región Lima 3/",NA,NA,97.3927522193697,97.6680804940139,99.1381243964804,99.0144135108063,98.7537197313409
"18","Loreto","56.8","63.1",61.601898342703,62.3762843110961,65.5116055531112,61.9901099825993,75.5704191867663
"19","Madre de Dios","93.2","93.4",95.9680648834846,96.8514620919755,97.6403961301165,96.5414254810788,97.0468724576379
"20","Moquegua","95.5","99.2",98.0211036824721,98.6361515118549,99.0209838367582,99.0255007569173,99.1075103249968
"21","Pasco","87.8","79.8",85.589715778231,89.753713338962,88.3775707173445,91.8615737313292,95.9344233418285
"22","Piura","80.400000000000006","80.5",85.1453908415115,88.223179532617,87.57179328193,92.7144227522154,92.5172675695495
"23","Puno","74.599999999999994","80.599999999999994",79.7474058348234,85.4111964609819,91.8104981442818,93.1385722346772,92.7818407114648
"24","San Martín","83.9","86.4",86.2435496571593,85.6738596616532,91.663262521098,92.4665635009181,91.0384759448989
"25","Tacna","98","96.8",96.2528887034121,97.6396041220143,98.0829175763887,98.6674549322239,98.4765863660866
"26","Tumbes","97.5","100",99.4443781098626,98.3580732594439,98.608409699339,97.6844415695146,98.9598911870049
"27","Ucayali","77.400000000000006","74.8",72.9658010575952,81.3611883622148,77.5058731890619,76.6541980117911,90.83689548034
