"","Departamento","2012","2013","2014","2015","2016","2017","2018"
"1","Amazonas",21.4,23.5,30.5,28.1,22.8,19.860737393752,23.8
"2","Áncash",9.3,12.9,9.5,13.8,13.5,13.6748697259932,13
"3","Apurímac",9.6,13.1,11.5,10.6,12.7,12.8231160546257,12
"4","Arequipa",6.1,5.2,7.7,8.4,7.5,6.3173821205948,6.6
"5","Ayacucho",13.9,18.4,22.2,17.4,15.1,14.5747377944143,16.8
"6","Cajamarca",17.1,19.9,19.4,17.8,17.6,16.7256735927527,18.5
"7","Prov. Const. del Callao",NA,NA,NA,13.6,11,10.6745790207542,10.2
"8","Cusco",10,10.7,10.1,14.6,11.7,9.62367285240072,9.2
"9","Huancavelica",12.4,13.1,10,17.7,15.4,14.4991677362467,15.1
"10","Huánuco",20.2,17.7,16.9,17.7,19.2,17.1247378652927,16.4
"11","Ica",14.6,14.1,16,20.1,19.9,17.4430697519055,14.3
"12","Junín",15.1,10.1,7.7,10.5,11.2,11.540070525158,12.1
"13","La Libertad",8.5,15.1,18.4,15.2,13.7,14.7574627891653,16.8
"14","Lambayeque",10.3,15.5,11.4,9.2,11.2,13.123528182301,11.8
"15","Lima",NA,NA,NA,12.2,9,7.37181155142748,10.2
"16","Provincia de Lima 2/",NA,NA,NA,11.4,7.9,6.16001533205182,9.6
"17","Región Lima 3/",NA,NA,NA,18.2,18.4,17.3246046560435,14.9
"18","Loreto",30,32.2,25.3,30.4,32.8,30.6403639135141,30.4
"19","Madre de Dios",27.9,19.1,23.1,24.4,21.9,17.8593716508592,16.9
"20","Moquegua",9.1,9.5,10.6,7,6.4,6.78625957058536,8.6
"21","Pasco",17,17.8,19.2,13.9,16,15.8336321341522,12.6
"22","Piura",13.3,16,18.1,16.7,16.4,15.0875433519385,14.6
"23","Puno",14.5,8.9,7.8,12.3,11.6,11.209210261125,11.3
"24","San Martín",21.2,27.2,21.7,24.1,25.5,23.4916464849877,20
"25","Tacna",9,6.9,11.8,11,9.3,8.22425694437729,9
"26","Tumbes",17.5,27,18,21.4,22.2,18.3748767755866,16
"27","Ucayali",24.9,26.5,27.3,21.2,26.2,26.6505623918263,23.1
